[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/aios.provision
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/config.properties
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/aios.provision
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/config.properties
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/aios.provision
[2016-10-17 15:35:37.980] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/config.properties
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/aios.provision
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/config.properties
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/aios.provision
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/config.properties
[2016-10-17 15:35:37.981] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:35:50.668] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/aios.provision
[2016-10-17 15:35:50.668] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/config.properties
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/aios.provision
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/config.properties
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/aios.provision
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/config.properties
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/aios.provision
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/config.properties
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/aios.provision
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/config.properties
[2016-10-17 15:35:50.669] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:35:50.670] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/aios.provision
[2016-10-17 15:35:50.670] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/config.properties
[2016-10-17 15:35:50.670] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/aios.provision
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/config.properties
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/aios.provision
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/config.properties
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:35:57.776] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/aios.provision
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/config.properties
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/aios.provision
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/config.properties
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/aios.provision
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/config.properties
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/aios.provision
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/config.properties
[2016-10-17 15:35:57.777] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:36:02.107] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/aios.provision
[2016-10-17 15:36:02.107] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/config.properties
[2016-10-17 15:36:02.107] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:36:02.107] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/aios.provision
[2016-10-17 15:36:02.107] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/config.properties
[2016-10-17 15:36:02.107] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:36:02.108] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/aios.provision
[2016-10-17 15:36:02.108] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/config.properties
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/aios.provision
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/config.properties
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/aios.provision
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/config.properties
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/aios.provision
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/config.properties
[2016-10-17 15:36:02.109] [INFO] dateFileLog - readFolder file src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
